Date,Spain,Andalucía,Aragón,Principado de Asturias,Castilla y León,Castilla-La Mancha,Canarias,Catalunya,Galicia,Illes Balears,Región de Murcia,Comunidad de Madrid,País Vasco,Comunidad Valenciana
2008-05-18,16,19,9,18,28,16,17,16,24,22,15,16,18,11
2008-05-25,11,12,8,18,22,16,15,21,18,18,14,10,16,8
2008-06-01,11,9,7,16,22,17,12,13,23,17,10,10,16,9
2008-06-08,8,9,7,14,22,16,11,9,19,14,9,8,14,7
2008-06-15,8,7,7,14,18,14,11,11,16,13,8,8,13,7
2008-06-22,8,6,8,13,17,15,9,12,18,12,8,10,11,6
2008-06-29,7,6,8,13,17,15,8,6,16,12,7,7,10,8
2008-07-06,8,8,8,11,18,16,7,6,14,12,7,8,9,7
2008-07-13,7,8,8,10,19,17,7,15,11,9,5,6,9,7
2008-07-20,8,5,8,9,16,15,7,13,11,10,6,7,8,6
2008-07-27,7,6,8,8,14,13,6,7,9,10,5,6,9,8
2008-08-03,8,6,8,8,15,12,7,10,9,9,5,9,9,7
2008-08-10,7,4,7,8,16,11,6,8,11,9,5,8,8,9
2008-08-17,8,6,9,8,18,11,6,7,11,10,5,6,8,6
2008-08-24,8,6,9,8,17,11,5,9,16,10,5,7,9,7
2008-08-31,6,6,9,8,14,11,5,6,11,10,5,7,8,5
2008-09-07,8,7,9,8,12,10,5,8,14,8,4,8,8,7
2008-09-14,14,7,9,8,13,10,8,12,13,9,5,14,9,14
2008-09-21,16,11,11,12,13,10,9,16,15,12,6,19,14,16
2008-09-28,27,17,16,16,15,13,13,40,23,13,7,39,20,16
2008-10-05,30,19,23,21,16,16,16,39,32,15,11,31,30,45
2008-10-12,27,15,40,39,17,20,22,27,46,29,13,37,36,22
2008-10-19,19,16,43,43,15,23,29,15,38,41,29,20,31,15
2008-10-26,24,14,42,57,21,20,31,27,38,33,29,21,30,15
2008-11-02,19,9,31,53,24,19,29,18,37,37,21,26,27,13
2008-11-09,26,19,30,51,31,17,42,24,52,35,21,27,31,15
2008-11-16,31,19,28,53,38,17,48,33,64,31,20,34,42,19
2008-11-23,25,12,28,63,34,15,44,28,73,22,19,27,51,19
2008-11-30,28,13,26,106,42,22,49,27,58,19,16,29,106,14
2008-12-07,45,23,33,153,48,26,44,41,59,17,20,57,215,12
2008-12-14,73,20,39,213,74,30,38,63,110,19,19,125,204,19
2008-12-21,194,75,80,373,150,77,47,137,278,20,28,316,272,40
2008-12-28,420,213,335,753,380,384,87,346,1146,25,108,724,434,224
2009-01-04,267,156,568,637,585,650,119,305,756,55,224,272,395,153
2009-01-11,223,181,389,330,475,356,87,329,422,218,201,185,257,134
2009-01-18,132,172,243,174,205,201,67,244,132,352,186,91,161,166
2009-01-25,72,84,142,89,119,128,48,113,61,294,151,55,101,113
2009-02-01,37,38,74,58,70,73,34,59,32,195,94,26,80,44
2009-02-08,28,29,45,38,52,51,26,39,32,114,54,22,46,33
2009-02-15,30,22,33,32,39,37,20,57,27,83,41,25,35,25
2009-02-22,29,20,30,29,29,30,23,42,24,57,29,24,34,18
2009-03-01,29,19,37,30,39,30,21,50,22,42,22,18,29,17
2009-03-08,23,14,47,41,42,33,16,39,22,35,20,18,35,14
2009-03-15,20,9,47,36,37,26,18,43,28,29,16,10,43,17
2009-03-22,19,14,37,38,38,25,17,26,28,24,12,20,40,19
2009-03-29,12,7,34,34,39,21,16,13,23,18,11,10,35,18
2009-04-05,16,11,29,38,34,20,15,15,28,17,9,12,35,14
2009-04-12,15,10,27,33,29,16,16,21,36,17,10,12,24,12
2009-04-19,14,8,22,30,22,14,15,17,48,16,9,13,20,13
2009-04-26,40,43,32,42,40,16,32,57,78,20,14,46,27,110
2009-05-03,33,25,50,39,47,23,56,45,142,24,29,35,34,65
2009-05-10,18,24,51,35,45,26,49,32,84,33,33,17,64,22
2009-05-17,17,20,52,35,43,30,47,24,44,37,31,24,54,18
2009-05-24,17,14,40,32,35,38,46,20,36,48,33,16,37,17
2009-05-31,13,8,30,21,40,30,31,15,25,33,23,16,30,13
2009-06-07,13,7,21,15,29,23,24,10,20,27,16,20,24,11
2009-06-14,10,5,16,16,22,19,18,11,20,20,11,12,15,13
2009-06-21,8,8,14,13,18,14,14,9,15,17,8,10,13,8
2009-06-28,15,13,12,11,15,12,14,15,14,15,7,20,12,7
2009-07-05,14,12,12,11,13,11,17,16,17,15,6,12,11,7
2009-07-12,31,19,13,12,18,11,18,33,21,17,6,35,15,11
2009-07-19,52,28,21,16,27,16,26,75,47,34,7,50,41,37
2009-07-26,39,22,23,18,32,17,28,54,54,67,7,46,59,32
2009-08-02,39,13,30,22,36,23,30,63,64,93,7,55,70,26
2009-08-09,57,43,41,40,53,34,37,82,55,130,7,45,75,43
2009-08-16,61,30,51,44,55,49,37,79,64,142,12,54,68,52
2009-08-23,99,101,49,74,59,48,40,100,122,219,14,83,109,56
2009-08-30,87,64,65,110,52,59,44,94,126,151,20,100,173,72
2009-09-06,49,37,70,101,63,56,50,63,112,97,19,41,165,37
2009-09-13,51,23,72,115,58,57,46,72,90,67,24,48,104,29
2009-09-20,93,48,80,136,65,68,39,103,107,54,27,97,135,60
2009-09-27,111,56,86,192,74,99,40,115,178,43,32,107,406,53
2009-10-04,137,108,92,196,93,122,45,116,147,51,49,170,349,89
2009-10-11,126,106,104,162,140,129,52,109,177,78,46,155,263,53
2009-10-18,161,112,340,161,184,136,87,162,198,90,51,199,479,38
2009-10-25,268,128,808,232,196,201,112,250,485,87,47,376,808,100
2009-11-01,313,154,473,335,181,230,118,449,813,121,51,408,571,132
2009-11-08,304,199,343,348,179,208,167,582,534,161,106,239,342,332
2009-11-15,348,290,375,258,181,169,183,525,385,257,284,239,254,886
2009-11-22,181,203,228,203,171,127,279,256,210,265,440,107,188,322
2009-11-29,84,86,134,136,156,98,193,123,150,147,283,66,107,85
2009-12-06,50,45,79,144,106,68,115,42,90,107,171,45,66,68
2009-12-13,45,41,62,102,88,46,78,70,68,89,112,38,56,36
2009-12-20,24,21,44,70,60,32,54,27,58,60,67,19,43,23
2009-12-27,37,14,38,69,52,27,44,51,66,53,42,29,66,39
2010-01-03,20,9,34,59,42,21,26,23,60,40,34,19,51,22
2010-01-10,17,7,29,52,34,17,19,33,46,35,23,15,41,12
2010-01-17,12,9,23,46,30,15,14,15,29,31,18,10,33,11
2010-01-24,11,10,20,32,29,13,12,18,23,24,14,8,27,7
2010-01-31,13,7,19,27,23,13,10,15,21,19,12,12,21,7
2010-02-07,10,5,18,21,21,12,8,15,20,20,10,10,19,9
2010-02-14,11,6,16,21,18,13,7,18,22,19,10,9,16,8
2010-02-21,9,4,15,17,15,14,6,17,21,19,9,8,17,8
2010-02-28,8,5,16,16,13,14,5,10,17,19,8,6,16,6
2010-03-07,10,6,13,16,12,14,5,16,15,17,8,11,12,6
2010-03-14,8,6,12,16,11,14,5,9,15,16,8,6,12,5
2010-03-21,8,6,11,15,11,11,4,15,15,16,6,5,12,5
2010-03-28,5,5,9,12,11,9,4,7,17,14,6,4,11,6
2010-04-04,8,7,8,10,12,8,6,7,16,12,6,8,9,6
2010-04-11,6,5,7,8,13,7,5,7,14,10,5,6,9,6
2010-04-18,5,4,7,7,12,6,6,4,11,8,5,6,8,5
2010-04-25,5,4,7,6,15,5,7,7,10,8,5,4,7,5
2010-05-02,6,4,7,6,15,5,8,6,10,8,4,5,8,4
2010-05-09,6,5,8,6,14,5,8,8,10,7,4,4,7,4
2010-05-16,8,7,9,6,13,4,9,9,13,7,4,7,7,5
2010-05-23,7,6,10,6,11,4,8,8,12,7,4,6,7,6
2010-05-30,6,6,8,6,10,5,8,8,11,7,4,7,6,5
2010-06-06,4,4,8,6,9,5,7,5,9,6,4,3,6,4
2010-06-13,4,3,8,7,8,6,6,5,10,6,3,3,6,3
2010-06-20,4,3,7,8,9,5,8,4,8,5,3,4,6,3
2010-06-27,3,3,6,8,8,6,8,2,8,5,3,3,5,2
2010-07-04,3,2,6,7,8,5,7,2,9,5,3,4,5,2
2010-07-11,3,2,6,7,8,5,7,3,10,5,3,2,5,2
2010-07-18,3,2,5,6,7,5,7,4,8,4,3,4,5,2
2010-07-25,4,3,4,6,6,5,6,4,8,4,2,3,5,2
2010-08-01,4,2,4,6,6,5,6,6,8,4,2,4,5,3
2010-08-08,4,2,4,5,6,4,5,7,8,4,3,4,5,4
2010-08-15,7,3,4,5,6,5,6,9,9,3,2,6,6,4
2010-08-22,7,4,4,5,6,5,6,10,9,3,2,8,6,4
2010-08-29,6,4,4,5,7,5,6,9,12,3,2,4,7,4
2010-09-05,7,5,4,5,7,5,6,8,14,3,2,7,8,4
2010-09-12,6,4,5,5,7,5,5,9,13,4,2,5,9,4
2010-09-19,9,5,5,6,7,6,5,16,17,5,3,5,12,4
2010-09-26,15,7,8,7,7,11,6,20,20,6,3,15,15,11
2010-10-03,16,12,10,11,9,14,7,17,23,6,3,16,18,10
2010-10-10,14,11,11,21,10,14,8,16,27,7,4,14,17,11
2010-10-17,15,10,12,28,12,16,10,26,24,10,5,15,17,11
2010-10-24,15,11,14,27,14,22,10,22,24,11,4,12,16,9
2010-10-31,13,9,14,28,17,19,12,16,21,13,5,12,16,10
2010-11-07,12,7,16,25,19,16,15,14,20,13,5,12,15,11
